measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1980,70.1897062358705,73.0314964947021,67.37269551635646
1,Deaths,102,United States of America,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1980,50.38660264968162,52.83363548440663,48.31134813818676
1,Deaths,102,United States of America,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1980,89.60107317983066,93.13658226547683,86.28002205981785
1,Deaths,102,United States of America,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1980,62.29724633707366,65.24265357489952,59.892067010184014
1,Deaths,102,United States of America,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1980,97.09381623159778,100.58356210169356,93.7213647689239
1,Deaths,102,United States of America,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1980,77.60378623064221,80.93070287416481,74.94404363305433
1,Deaths,102,United States of America,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1980,115.41781191661143,119.88550522110192,111.4051180033596
1,Deaths,102,United States of America,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1980,101.29150238485278,105.80057801396433,97.12568493529109
1,Deaths,102,United States of America,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1980,132.52131764071393,136.8245208733198,128.53114403790005
1,Deaths,102,United States of America,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1980,130.9926734521149,136.4094928925025,125.98368221133573
1,Deaths,102,United States of America,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1980,220.7906889388995,227.94694806270434,213.93561367331304
1,Deaths,102,United States of America,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1980,200.04655865702713,206.77437778501763,193.54783850028863
1,Deaths,102,United States of America,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1980,485.450521620628,505.9050368947784,466.9751938751463
1,Deaths,102,United States of America,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1980,396.7724436605415,409.1874511209026,384.5393350967111
1,Deaths,102,United States of America,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1980,1202.3971974917386,1243.4655456071484,1160.090748996342
1,Deaths,102,United States of America,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1980,808.426130407219,837.0193630218146,784.9979324739194
1,Deaths,102,United States of America,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1980,15830.687914587032,16227.837951717134,15476.02425810538
1,Deaths,102,United States of America,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1980,8085.7348602388965,8282.569816762672,7827.881026831749
1,Deaths,102,United States of America,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1981,66.54573625827885,69.58122661260738,64.12547831266785
1,Deaths,102,United States of America,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1981,50.523537880165286,53.17908216289598,48.265754997393394
1,Deaths,102,United States of America,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1981,88.77958887021416,92.16479420375644,85.46567696223251
1,Deaths,102,United States of America,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1981,64.70118358745059,67.38656704805238,62.27062958690467
1,Deaths,102,United States of America,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1981,101.028506635161,104.65449624737951,97.47274934766898
1,Deaths,102,United States of America,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1981,84.34681597541704,87.67735783981601,81.6307165707586
1,Deaths,102,United States of America,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1981,117.80842268528662,122.60186751497906,113.70995714240891
1,Deaths,102,United States of America,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1981,111.47956987966663,116.1106806636314,106.72671785634044
1,Deaths,102,United States of America,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1981,138.3218775017404,143.24383453889774,133.5625192384631
1,Deaths,102,United States of America,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1981,137.11894167890918,142.76699800356363,131.83847343591276
1,Deaths,102,United States of America,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1981,217.28423026538906,224.2393628629794,210.42071966181317
1,Deaths,102,United States of America,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1981,203.7400353697265,210.53986947788286,197.2334654983235
1,Deaths,102,United States of America,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1981,452.43323479616726,471.2014931467063,435.04502464280625
1,Deaths,102,United States of America,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1981,394.6632209417263,406.9825875383983,383.6750672909688
1,Deaths,102,United States of America,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1981,1162.9551806586267,1201.355100097265,1121.8331874576077
1,Deaths,102,United States of America,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1981,815.007173881745,842.2148462979541,792.0263279038553
1,Deaths,102,United States of America,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1981,15749.383385215468,16139.264784092264,15386.692777875853
1,Deaths,102,United States of America,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1981,8508.242061757033,8712.823730385644,8235.910230620835
1,Deaths,102,United States of America,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1985,64.27237958375127,67.78975458121126,61.55937084211913
1,Deaths,102,United States of America,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1985,53.014564200198095,55.551899437653425,50.543669096836226
1,Deaths,102,United States of America,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1985,91.86454373786867,95.81923337302223,87.83547046105812
