measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,age_category,mortality_rate,year_trend,gender_ratio,rolling_avg,relative_risk,decade
1,Deaths,6,China,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1980,1007.1692381026156,1299.7131641903463,749.9056679633088,Young,22480.96443495487,,,1007.1692381026156,0.12972119351055994,1980
1,Deaths,6,China,2,Female,8,15-19 years,508,Chronic respiratory diseases,1,Number,1980,621.2231042456024,843.3422206433227,321.44056892860664,Young,22480.96443495487,-0.3831988897755544,,814.1961711741089,0.08001217617695353,1980
1,Deaths,6,China,1,Male,9,20-24 years,508,Chronic respiratory diseases,1,Number,1980,879.096142126682,1114.0365678222925,660.1410673873379,Young,22480.96443495487,,,879.096142126682,0.113225659058089,1980
1,Deaths,6,China,2,Female,9,20-24 years,508,Chronic respiratory diseases,1,Number,1980,573.7751291404786,830.8432646680311,284.7113850404385,Young,22480.96443495487,-0.34731242506374826,,726.4356356335803,0.07390098083118296,1980
1,Deaths,6,China,1,Male,10,25-29 years,508,Chronic respiratory diseases,1,Number,1980,1250.517606071156,1550.835424079504,972.5504779165784,Adult,22480.96443495487,,,1250.517606071156,0.1610639306966114,1980
1,Deaths,6,China,2,Female,10,25-29 years,508,Chronic respiratory diseases,1,Number,1980,1078.491716364481,1605.6654300183675,520.5342521595188,Adult,22480.96443495487,-0.13756374870014154,,1164.5046612178185,0.13890737260960573,1980
1,Deaths,6,China,1,Male,11,30-34 years,508,Chronic respiratory diseases,1,Number,1980,1732.9488467861484,2193.281745980863,1353.1934650593298,Adult,22480.96443495487,,,1732.9488467861484,0.22320001861985367,1980
1,Deaths,6,China,2,Female,11,30-34 years,508,Chronic respiratory diseases,1,Number,1980,1424.6730193746373,2111.7033075829404,680.2681286059949,Adult,22480.96443495487,-0.17789089850126039,,1578.8109330803927,0.18349476676206983,1980
1,Deaths,6,China,1,Male,12,35-39 years,508,Chronic respiratory diseases,1,Number,1980,2721.033304860126,3550.074891694877,1973.5863571971815,Adult,22480.96443495487,,,2721.033304860126,0.35046313423293396,1980
1,Deaths,6,China,2,Female,12,35-39 years,508,Chronic respiratory diseases,1,Number,1980,2059.960217520679,2954.097946935862,1004.2159047075396,Adult,22480.96443495487,-0.24294928186240228,,2390.4967611904026,0.265318367451796,1980
1,Deaths,6,China,1,Male,13,40-44 years,508,Chronic respiratory diseases,1,Number,1980,6048.329196093814,7892.0829596123585,4447.744214337584,Adult,22480.96443495487,,,6048.329196093814,0.7790115626844794,1980
1,Deaths,6,China,2,Female,13,40-44 years,508,Chronic respiratory diseases,1,Number,1980,3871.31934216984,5521.97760723361,1976.154104686248,Adult,22480.96443495487,-0.3599357414821187,,4959.824269131827,0.4986174582464973,1980
1,Deaths,6,China,1,Male,14,45-49 years,508,Chronic respiratory diseases,1,Number,1980,10118.963159020288,13799.68918746708,7383.006628585827,Adult,22480.96443495487,,,10118.963159020288,1.3033003078512995,1980
1,Deaths,6,China,2,Female,14,45-49 years,508,Chronic respiratory diseases,1,Number,1980,6429.255604450858,9136.07233025011,3393.0757264713534,Adult,22480.96443495487,-0.36463296649917487,,8274.109381735572,0.8280740503601922,1980
1,Deaths,6,China,1,Male,15,50-54 years,508,Chronic respiratory diseases,1,Number,1980,21703.601677871826,28394.962697136816,15499.33690795153,Senior,22480.96443495487,,,21703.601677871826,2.7953763941750522,1980
1,Deaths,6,China,2,Female,15,50-54 years,508,Chronic respiratory diseases,1,Number,1980,13744.01832030633,19514.012947910247,7203.180306920597,Senior,22480.96443495487,-0.3667402063354668,,17723.809999089077,1.7701994785900006,1980
1,Deaths,6,China,1,Male,25,50-69 years,508,Chronic respiratory diseases,1,Number,1980,194877.25677198308,254975.90179637657,143821.9781812285,Senior,22480.96443495487,,,194877.25677198308,25.099764151007427,1980
1,Deaths,6,China,2,Female,25,50-69 years,508,Chronic respiratory diseases,1,Number,1980,134515.727432699,177384.11037696508,82573.32100210016,Senior,22480.96443495487,-0.3097412717067869,,164696.49210234103,17.325331283333966,1980
1,Deaths,6,China,1,Male,8,15-19 years,508,Chronic respiratory diseases,1,Number,1981,1077.1061134531556,1372.31435816034,829.9948552445886,Young,22725.047491206977,0.7338474794191145,,901.8328186004578,0.13800200983000263,1980
